Sentence,Label
"


Actually this stuff from Mogilny doesn't surprise me all that much.  About 4
or 5 weeks ago I read in the Toronto Sun a quote from Alex; it went something
like [sarcastically]:

""Yep, Patty's the man.  He's responsible for the team's success...I'm a 
nobody around here.""

I was going to post it at the time...I must have forgot since nobody else 
was talking about him being a problem.


Yep, I'd beat the shit out of him too.  LaFontaine really must be a team
player...makes you wonder what the Islander management was thinking.
My question is what the hell is Muckler doing?  Whether he wishes to admit it
or not, the team is his to coach, and if he can't do the job then maybe the
job should be given to somebody who can.  

Gee, kinda like Alex's spot on the team, isn't it?",-1
"1993 World Championships in Germany:
 ====================================

	Group A standings (Munich)	Group B	standings (Dortmund)
	--------------------------	----------------------------

	           GP  W T L GF-GA P	              GP  W T L GF-GA P

	Sweden      1  1 0 0  1-0  2	Germany        1  1 0 0  6-0  2
	Italy       1  0 1 0  2-2  1 	Czech republic 1  0 1 0  1-1  1
	Russia      1  0 1 0  2-2  1	USA            1  0 1 0  1-1  1
	Canada      0  0 0 0  0-0  0	Finland        0  0 0 0  0-0  0
	Switzerland 0  0 0 0  0-0  0	France         0  0 0 0  0-0  0
	Austria     1  0 0 1  0-1  0	Norway         1  0 0 1  0-6  0

 
 April 18:  Italy - Russia    2-2           Norway - Germany      0-6
            Sweden - Austria  1-0           USA - Czech republic  1-1

 April 19:  Canada - Switzerland					15:30
            Russia - Austria                Finland - France		20:00

 April 20:  Sweden - Canada                 Czech republic - Germany	15:30
            Switzerland - Italy             Finland - USA		20:00

 April 21:                                  Germany - France		15:30
            Italy - Sweden                  Czech republic - Norway	20:00

 April 22:  Switzerland - Russia            USA - France		15:30
            Austria - Canada                Norway - Finland		20:00

 April 23:  Switzerland - Austria           Germany - Finland		20:00

 April 24:  Russia - Sweden                 Czech republic - France	15:30
            Canada - Italy                  USA - Norway		20:00

 April 25:  Sweden - Switzerland            Finland- Czech republic  	15:30
            Russia - Canada                 Germany - USA		20:00

 April 26:  Austria - Italy                 France - Norway		20:00

 
 PLAYOFFS:
 =========

 April 27:	Quarterfinals
		A #2 - B #3						15:30
		A #3 - B #2						20:00

 April 28:	Quarterfinals
		A #1 - B #4						15:30
		A #4 - B #1						20:00

 April 29:	Relegation
		A #5 - B #6						15:30
		A #6 - B #5						20:00

 April 30:	Semifinals
		A #1/B #4 - A #3/B #2					15:30
		A #4/B #1 - A #2/B #3					20:00

 May 1:		Relegation						14:30
		Bronze medal game 					19:00

 May 2:		FINAL							15:00
",-1
"I recently bought a pack of prospect hockey cards which had various
players that were coming into the NHL. I got this particular card of
a Russian named Viktor Kozlov. It says ""many scouts believe he will
be the #1 pick in 1993"". Another guy is quoted as saying ""He's as 
good as Mario Lemieux"". Anyone know who this guy is?????",-1
"
	Being a proud BU alumnus, I'd like to get a list of BU players in 
the NHL so I can keep an eye on their progress. A lot of Terriers are
graduating this year so I hope to see them soon in the NHL. If somebody
could post or send me a list, I'd appreciate it. Please note if the player
graduated from here or not.
",-1
"[more about the Messier-Samuelsson incident]
 I agree with Rick that Ulf's cross check wasn't illegal. It was the kind
 of check you see a dozen times during a game without being called. Slo-mos
 sometimes have a tendency to make things look worse than they really are.
 Besides, if Messier can't take the heat, he should stay out of the kitchen.

 Well Matt, Mattias Timmander hasn't been playing with the MoDo elite league
 team yet (just the MoDo junior team), so I predict he needs a few more years
 here before he can join the B's. I saw him play in the Swedish championship
 game for junior players this year, and he played very well, a physical game,
 but not the kind of rough stuff that Ulfie does (I suspect you would like to
 have a Ulf type-of-player on the B's team too? :)
 As for Mariusz Czerkawski, he has had a *great* season for Hammarby in
 division 1. He scored -if I remember correctly- 93 points this season,
 and then we have to keep in mind that a 50+ point season in Sweden is
 considered *very good* due to the limited number of games. Mariusz is
 Djurgarden property (he was just on loan to Hammarby), so he will play
 in Elitserien next season, unless the B's can get him of course.
 I would say that Mariusz has to be one of the most exciting player to
 watch in Swedish hockey this season.

 Staffan",-1
"According to the hockey gurus over at ESPN, should the Islanders win tonite
the two teams will have the same record, but the Devils will be playing the
Penguins.  This is because the Islanders have won the season series against
the Devils.  I think the rules for deciding a tie breaker include:

1.  season series
2.  goals against
3.  goals for

in this order (correct me if I'm wrong).  Anyone have anything to add?

Craig",-1
"

Cool.  They sound like a cult classic.  Can someone post a address or
phone # of a store that sells these?

Thanks,",-1
"
  

Listen, *ASSHOLE*, I'm just commenting on what I heard 
reported on the sports news!!

You'll notice my skeptical comment!  Sheesh... I thought this group 
wasfor conversation!  Guess I was wrong. }-<",-1
"United States Coverage:
Sunday April 18
  N.J./N.Y.I. at Pittsburgh - 1:00 EDT to Eastern Time Zone
  ABC - Gary Thorne and Bill Clement

  St. Louis at Chicago - 12:00 CDT and 11:00 MDT - to Central/Mountain Zones
  ABC - Mike Emerick and Jim Schoenfeld

  Los Angeles at Calgary - 12:00 PDT and 11:00 ADT - to Pacific/Alaskan Zones
  ABC - Al Michaels and John Davidson

Tuesday, April 20
  N.J./N.Y.I. at Pittsburgh - 7:30 EDT Nationwide
  ESPN - Gary Thorne and Bill Clement

Thursday, April 22 and Saturday April 24
  To Be Announced - 7:30 EDT Nationwide
  ESPN - To Be Announced


Canadian Coverage:

Sunday, April 18
  Buffalo at Boston - 7:30 EDT Nationwide
  TSN - ???

Tuesday, April 20
  N.J.D./N.Y. at Pittsburgh - 7:30 EDT Nationwide
  TSN - ???",-1
"This will be my last post ( promotion ) of the hockey pool.. I will 
update the pool ( or try to ) every wednesday
 
Subject: Please join my hockey playoff pool. 
Deadline for pool: Midnight Saturday
Rules: Read on
Cost: NONE
PRIZES: NONE
Send replies to : Montana@pinetree.org
 
Note: if your entries is send by midnight saturday it will be accepted
      please include your name
 
               Rules to the ACME hockey playoff pool 
 
Critierias
 Pick 9 forwards  ( as long as they are forwards LW=RW=C is okay)
 Pick 6 defensemen
 ( arrange them in a lines, 3 forwards and two defense = 1 line 
 ( and arranged them in line order , which of your players would       
 ( play in the first line and which plays in the second line 
 Pick 1 designated playmaker   
      ( can be any positions...try a defensemen )
 Pick 1 designated scorer ( can be any positions )
 Pick 1 goal-tender
 Pick a team   ( the one you think may win the cup )           
                 
 *note: players can only be chosen once !
 ie Cannot have Sakic as forward and again as designated passer
 -----------------------------------------------------------------        
                 
 Calculation of points: 
  ( except for designated scorer and playmaker)
   1 assist  = 1 pt   IXI  1 goal = 1 pt  II 
   ( for players in line 1, their pt totals will be *2 )
          line 1 = pts * 2
          line 2 = pts * 1.5
          line 3 = pts * 1
   1 win     = 2 pt  ( for goalies)
   
   The team that wins the Cup = 10 pts
   
For the designated playmaker         Designated
Calculation will be as follows       Scorer:Goal    = 3 pts
Every goal scored = 0.5 points             Assists = 0.5 pts
Every assists     = 2 points
   
  In the event of a tie, the tie will be broken by unmodified 
  Goal totals and then by game winning goals
  ----SAMPLE-------------------------------------
   eg designated scorer = Jeremy Roenick
      Actual: G=12, A=10, Pts=22  Modified G=(12*3) + A=(10*0.5) = 41
   .    
       designated playmaker = Steve Smith
      Actual: G=1,  A=11, Pts=12  Modified G=(1*0.5)  + A=(11*2) = 22.5
   .
   line 1 = J Murphy(24)- G Courtnall(14)- M Messier(14)
                   Dave Manson(12)-  Iafrate(7)
       Total points = 142 points for that line!

",-1
